"","R","SPT","SEX","AGE","MARITAL","RACE1","RACE2","RACE3","EDU1","EDU2","EDU3","EDU4","INCOME","EXPEND","NWORTH"
"280",1,1,1,-0.483584997564539,1,1,0,0,0,1,0,0,0.899348011143843,0.842658542517845,-9.21034037197618
"282",1,0,1,-0.483584997564539,1,1,0,0,0,1,0,0,1.56653041142282,0.297052807153724,-9.21034037197618
"283",1,1,2,0.71641500243546,3,1,0,0,0,0,1,0,1.37523341376047,-0.929544855997091,-9.21034037197618
"284",1,1,1,1.51641500243546,1,0,1,0,0,0,1,0,-0.0202027073175195,-1.28247503248089,-9.21034037197618
"285",1,1,1,-1.88358499756454,1,1,0,0,1,0,0,0,0.504405055963068,-0.791090824890072,-9.21034037197618
"286",1,1,2,-0.483584997564539,4,1,0,0,0,1,0,0,0.254332092770227,-2.08505728046547,-9.21034037197618
"287",1,1,1,0.016415002435461,1,1,0,0,0,0,0,1,1.88236161391034,0.184943117498906,-9.21034037197618
"289",1,1,1,0.016415002435461,1,0,1,0,0,1,0,0,0.0677521020508185,-1.61344593383164,-9.21034037197618
"290",1,1,1,0.41641500243546,1,1,0,0,0,0,0,1,2.15065694151988,-0.803445801950779,-9.21034037197618
"292",1,0,1,-1.48358499756454,1,1,0,0,0,1,0,0,1.38629436111989,-1.90756319251619,-9.21034037197618
"293",1,1,1,0.21641500243546,1,1,0,0,1,0,0,0,-0.22314355131421,-1.66989586376583,-9.21034037197618
"295",1,1,1,0.91641500243546,1,0,1,0,0,1,0,0,2.08599502064968,0.0691061983985478,-9.21034037197618
"297",1,1,1,-1.38358499756454,3,0,1,0,0,0,0,1,1.33500106673234,-0.964081404451762,-9.21034037197618
"298",1,1,2,1.31641500243546,1,1,0,0,0,1,0,0,1.30833281965018,-0.185546752149649,-9.21034037197618
"299",1,0,2,1.01641500243546,2,0,1,0,0,1,0,0,-0.0521357544205285,-0.705341226660651,-9.21034037197618
"300",1,1,2,1.11641500243546,5,1,0,0,0,0,0,1,2.07987894600462,0.654800817051584,-9.21034037197618
"301",1,1,2,1.11641500243546,1,1,0,0,1,0,0,0,0.300845058978062,-1.42337336936131,-9.21034037197618
"302",1,0,1,-1.28358499756454,1,1,0,0,0,0,0,1,1.82567768743152,-0.430394145519681,-9.21034037197618
"303",1,1,1,-1.78358499756454,5,0,1,0,0,0,0,1,2.32238772029023,-0.5444777237987,-9.21034037197618
"304",1,1,1,-0.28358499756454,3,1,0,0,0,0,0,1,1.92278773163446,-0.186483722601253,-9.21034037197618
"305",1,1,1,1.31641500243546,1,1,0,0,0,0,1,0,1.98547420985145,-1.05044137333653,-9.21034037197618
"306",1,1,1,1.41641500243546,1,1,0,0,0,0,0,1,2.75110969056266,1.20753081708477,-9.21034037197618
"307",1,0,1,1.41641500243546,1,1,0,0,0,0,0,1,2.31387116501101,-0.295221529531325,-9.21034037197618
"310",1,1,2,-0.383584997564539,4,0,1,0,1,0,0,0,0.916290731874155,-1.97598283331161,-9.21034037197618
"311",1,0,2,-2.18358499756454,5,1,0,0,0,0,1,0,0.449800921928216,0.767639900117463,-9.21034037197618
"312",1,0,2,-1.98358499756454,1,0,1,0,0,0,0,1,2.24070968927596,-1.21326585123753,-9.21034037197618
"314",1,1,1,1.51641500243546,1,1,0,0,1,0,0,0,-0.286349627218002,-2.02738054205338,-9.21034037197618
"317",1,1,1,0.21641500243546,5,0,1,0,0,0,0,1,1.45861502269952,0.0679389830081929,-9.21034037197618
"318",1,1,2,-0.58358499756454,3,1,0,0,0,0,0,1,0.553885113226438,-1.73188807219066,-9.21034037197618
"319",1,1,1,0.516415002435461,1,1,0,0,0,1,0,0,2.00341056789695,-1.30874708444599,-9.21034037197618
"320",1,0,2,-0.183584997564539,4,0,1,0,0,0,1,0,2.16332302566054,-1.51034702488421,-9.21034037197618
"321",1,0,1,-0.983584997564539,1,1,0,0,1,0,0,0,1.7227665977411,-1.0807478030616,-9.21034037197618
